<http://codes.wmo.int/def/bufr4/fxy>,@id,@notation,@status,rdf:type,rdfs:label,skos:notation,skos:note
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/195>,195,stable,skos:Concept,"'Thunderstorm, heavy, with rain showers and/or snow showers'@en",195,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/196>,196,stable,skos:Concept,"'Thunderstorm, heavy, with hail'@en",196,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/199>,199,stable,skos:Concept,'Tornado'@en,199,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/204>,204,stable,skos:Concept,'Volcanic ash suspended in the air aloft'@en,204,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/205>,205,stable,skos:Concept,'Not used'@en,205,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/206>,206,stable,skos:Concept,"'Thick dust haze, visibility less than 1 km'@en",206,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/207>,207,stable,skos:Concept,'Blowing spray at the station'@en,207,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/208>,208,stable,skos:Concept,'Drifting dust (sand)'@en,208,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/209>,209,stable,skos:Concept,'Wall of dust or sand in distance (like haboob)'@en,209,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/210>,210,stable,skos:Concept,'Snow haze'@en,210,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/211>,211,stable,skos:Concept,'Whiteout'@en,211,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/212>,212,stable,skos:Concept,'Not used'@en,212,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/213>,213,stable,skos:Concept,"'Lightning, cloud to surface'@en",213,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/217>,217,stable,skos:Concept,'Dry thunderstorm'@en,217,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/218>,218,stable,skos:Concept,'Not used'@en,218,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/219>,219,stable,skos:Concept,'Tornado cloud (destructive) at or within sight of the station during preceding hour or at the time of observation'@en,219,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/220>,220,stable,skos:Concept,'Deposition of volcanic ash'@en,220,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/221>,221,stable,skos:Concept,'Deposition of dust or sand'@en,221,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/222>,222,stable,skos:Concept,'Deposition of dew'@en,222,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/223>,223,stable,skos:Concept,'Deposition of wet snow'@en,223,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/224>,224,stable,skos:Concept,'Deposition of soft rime'@en,224,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/225>,225,stable,skos:Concept,'Deposition of hard rime'@en,225,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/226>,226,stable,skos:Concept,'Deposition of hoar frost'@en,226,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/227>,227,stable,skos:Concept,'Deposition of glaze'@en,227,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/228>,228,stable,skos:Concept,'Deposition of ice crust (ice slick)'@en,228,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/229>,229,stable,skos:Concept,'Not used'@en,229,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/230>,230,stable,skos:Concept,'Duststorm or sandstorm with temperature below 0 °C'@en,230,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/239>,239,stable,skos:Concept,"'Blowing snow, impossible to determine whether snow is falling or not'@en",239,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/240>,240,stable,skos:Concept,'Not used'@en,240,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/241>,241,stable,skos:Concept,'Fog on sea'@en,241,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/242>,242,stable,skos:Concept,'Fog in valleys'@en,242,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/243>,243,stable,skos:Concept,'Arctic or Antarctic sea smoke'@en,243,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/244>,244,stable,skos:Concept,"'Steam fog (sea, lake or river)'@en",244,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/245>,245,stable,skos:Concept,'Steam log (land)'@en,245,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/246>,246,stable,skos:Concept,'Fog over ice or snow cover'@en,246,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/247>,247,stable,skos:Concept,"'Dense fog, visibility 60-90 m'@en",247,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/248>,248,stable,skos:Concept,"'Dense fog, visibility 30-60 m'@en",248,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/249>,249,stable,skos:Concept,"'Dense fog, visibility less than 30 m'@en",249,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/250>,250,stable,skos:Concept,"'Drizzle, rate of fall - less than 0.10 mm h-1'@en",250,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/251>,251,stable,skos:Concept,"'Drizzle, rate of fall - 0.10-0.19 mm h-1'@en",251,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/252>,252,stable,skos:Concept,"'Drizzle, rate of fall - 0.20-0.39 mm h-1'@en",252,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/253>,253,stable,skos:Concept,"'Drizzle, rate of fall - 0.40-0.79 mm h-1'@en",253,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/254>,254,stable,skos:Concept,"'Drizzle, rate of fall - 0.80-1.59 mm h-1'@en",254,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/255>,255,stable,skos:Concept,"'Drizzle, rate of fall - 1.60-3.19 mm h-1'@en",255,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/256>,256,stable,skos:Concept,"'Drizzle, rate of fall - 3.20-6.39 mm h-1'@en",256,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/257>,257,stable,skos:Concept,"'Drizzle, rate of fall - 6.4 mm h-1 or more'@en",257,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/258>,258,stable,skos:Concept,'Not used'@en,258,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/259>,259,stable,skos:Concept,'Drizzle and snow'@en,259,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/260>,260,stable,skos:Concept,"'Rain, rate of fall - less than 1.0 mm h-1'@en",260,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/261>,261,stable,skos:Concept,"'Rain, rate of fall - 1.0-1.9 mm h-1'@en",261,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/262>,262,stable,skos:Concept,"'Rain, rate of fall - 2.0-3.9 mm h-1'@en",262,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/263>,263,stable,skos:Concept,"'Rain, rate of fall - 4.0-7.9 mm h-1'@en",263,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/264>,264,stable,skos:Concept,"'Rain, rate of fall - 8.0-15.9 mm h-1'@en",264,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/265>,265,stable,skos:Concept,"'Rain, rate of fall - 16.0-31.9 mm h-1'@en",265,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/266>,266,stable,skos:Concept,"'Rain, rate of fall - 32.0-63.9 mm h-1'@en",266,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/267>,267,stable,skos:Concept,"'Rain, rate of fall - 64.0 mm h-1 or more'@en",267,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/270>,270,stable,skos:Concept,"'Snow, rate of fall - less than 1.0 cm h-1'@en",270,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/271>,271,stable,skos:Concept,"'Snow, rate of fall - 1.0-1.9 cm h-1'@en",271,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/272>,272,stable,skos:Concept,"'Snow, rate of fall - 2.0-3.9 cm h-1'@en",272,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/273>,273,stable,skos:Concept,"'Snow, rate of fall - 4.0-7.9 cm h-1'@en",273,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/274>,274,stable,skos:Concept,"'Snow, rate of fall - 8.0-15.9 cm h-1'@en",274,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/275>,275,stable,skos:Concept,"'Snow, rate of fall - 16.0-31.9 cm h-1'@en",275,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/276>,276,stable,skos:Concept,"'Snow, rate of fall - 32.0-63.9 cm h-1'@en",276,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/277>,277,stable,skos:Concept,"'Snow, rate of fall - 64.0 cm h-1 or more'@en",277,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/278>,278,stable,skos:Concept,'Snow or ice crystal precipitation from a clear sky'@en,278,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/279>,279,stable,skos:Concept,"'Wet snow, freezing on contact'@en",279,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/280>,280,stable,skos:Concept,'Precipitation of rain'@en,280,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/281>,281,stable,skos:Concept,"'Precipitation of rain, freezing'@en",281,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/282>,282,stable,skos:Concept,'Precipitation of rain and snow mixed'@en,282,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/283>,283,stable,skos:Concept,'Precipitation of snow'@en,283,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/284>,284,stable,skos:Concept,'Precipitation of snow pellets or small hall'@en,284,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/285>,285,stable,skos:Concept,"'Precipitation of snow pellets or small hail, with rain'@en",285,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/286>,286,stable,skos:Concept,"'Precipitation of snow pellets or small hail, with rain and snow mixed'@en",286,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/287>,287,stable,skos:Concept,"'Precipitation of snow pellets or small hail, with snow'@en",287,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/288>,288,stable,skos:Concept,'Precipitation of hail'@en,288,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/289>,289,stable,skos:Concept,"'Precipitation of hail, with rain'@en",289,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/290>,290,stable,skos:Concept,"'Precipitation of hall, with rain and snow mixed'@en",290,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/291>,291,stable,skos:Concept,"'Precipitation of hail, with snow'@en",291,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/292>,292,stable,skos:Concept,'Shower(s) or thunderstorm over sea'@en,292,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/293>,293,stable,skos:Concept,'Shower(s) or thunderstorm over mountains'@en,293,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/508>,508,stable,skos:Concept,"'No significant phenomenon to report, present and past weather omitted'@en",508,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/509>,509,stable,skos:Concept,"'No observation, data not available, present and past weather omitted'@en",509,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/510>,510,stable,skos:Concept,"'Present and past weather missing, but expected'@en",510,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/511>,511,stable,skos:Concept,'Missing value'@en,511,""
