;location_id;city;culture_text
10;26249932;Chicago;"['Art Institute of Chicago', 'Federal Reserve Bank Money Museum', 'Museum of Contemporary Photography', 'Pritzker Military Museum &amp; Library', 'Spertus Institute', 'Chicago Architecture Center', 'Grant Park', 'Millennium Park', 'Vietnam Veterans Memorial', 'Maggie Daley Park', 'Chicago Cultural Center', 'Chicago Mercantile Exchange Visitors Center', 'The Skydeck', 'Chicago Architecture Foundation', 'Carbide and Carbon Building', 'Federal Center', 'The Fine Arts Building', 'The Gage Group', 'The Haskell Building', ""The Jewelers' Building"", 'Marquette Building', 'Monadnock Building', 'The Reliance Building', 'The Rookery', '311 S Wacker Dr', 'Aon Center', 'Aqua', 'AT&amp;T Corporate Center', 'Chase Tower', 'Daley Center', 'Metropolitan Correctional Center', 'Crain Communications Building']"
11;369253421;Los Angeles;"['Hollywood', ""Studio City"", 'Downtown', 'El Pueblo de Los Angeles Historical Monument', 'City Hall', 'Griffith Observatory', ""Beverly Hills"", 'Getty Center', 'Griffith Park’, 'Mulholland Drive', 'Malibu', 'Venice Beach']"
12;295808510;Miami;"['Bayfront Park', 'Miami Circle', 'Brickell Key', 'Jungle Island', 'Miami Seaquarium', ""Miami Children's Museum"", 'Gesu Church', 'Trinity Episcopal Cathedral']"
13;294029191;New Orleans;"['Bourbon Street', 'Royal Street', 'Jackson Square', 'Cabildo', 'Presbytere', 'St. Louis Cathedral', 'Pontalba Buildings', 'Moon Walk', 'Chartres Street', 'Old French Market', 'Lower Decatur Street', ""New Orleans Jazz Park Visitor's Center &amp; Headquarters"", 'Jean Lafitte National Park and Preserve', 'Historic New Orleans Collection', 'Old U.S. Mint', 'Old Ursuline Convent', 'Pharmacy Museum', 'Cigar Factory New Orleans &amp; Museum', 'Musee Conti Wax Museum', 'Cabildo', 'Presbytere', 'St. Louis Cathedral', 'Pontalba Buildings', 'Beauregard-Keyes House', 'Hermann-Grima House', 'Gallier House', ""Madame John's Legacy"", 'Williams Residence']"
14;371470565;New York;"['Empire State Building', ""One World Trade Center and Memorial"", 'Wall Street', 'New York Stock Exchange', 'Brooklyn Bridge', 'Statue of Liberty', ""Ellis Island"", 'Chrysler Building', 'Grand Central Terminal’, 'New York Public Library', 'Rockefeller Center', 'United Nations Headquarters', ""Times Square"", 'Metropolitan Museum of Art', 'Guggenheim Museum', 'Museum of Modern Art (MoMA)', 'Central Park']"
15;312239722;San Francisco;['San Francisco CityPASS', 'Go San Francisco Card']
16;48598690;Montevideo;['Plaza Independencia', 'Palacio Salvo', 'Mausoleo de Artigas', 'Palacio Estévez', 'Torre Ejecutiva', 'Edificio Ciudadela', 'Puerta de la Ciudadela', 'Museo del Tango de Montevideo', 'Mercado del Puerto', 'Catedral Metropolitana', 'Old Sepharadi Synagogue', 'Teatro Solís', 'The sexual diversity monument', 'Aduana building', 'Cathedral of The Most Holy Trinity', 'Palacio Taranco', 'National History Museum', 'MAPI', 'Museo Torres Garcia', 'Museo del Carnaval', 'El Cabildo', 'Casa de Lavalleja', 'Casa de Fructuoso Rivera', 'The obelisk of Montevideo', 'Fuente de los Candados', 'Palacio Municipal', 'Museo del Fútbol', 'Museo de Historia del Arte', 'Museo del Gaucho y de la Moneda', 'Tile Museum', 'Castillo Pittamiglio', 'World Trade Center', 'Holocaust memorial', 'Punta Carretas lighthouse', 'MNAV', 'Museo Casa Vilamajó', 'Museum of Zoology', 'Central Cemetery', 'Parque Rodó', 'Pocitos Beach', 'Carrasco', 'Palacio Legislativo', 'Fortaleza General Artigas', 'Torre de las Telecomunicaciones', 'Castillo Soneira', 'Hipodromo Nacional de Maroñas', 'Museo Blanes', 'El Prado', 'Parque Lecocq']
17;46476020;Punta Del Este;['Casa Pueblo', 'Museo del Mar', 'Museo Ralli', 'Maam', 'Isla de Lobos', 'port', 'Whale watching']
18;48353406;Colonia del Sacramento;['The lighthouse', 'The old bullfighting ring', 'The house of the Viceroy', 'Portón de Campo', 'Calle de los Suspiros', 'Paseo de San Gabriel', 'Plaza 25 de Mayo', 'Plaza de Armas', 'Basilica del Santísimo Sacramento', 'The ruins of the San Francisco convent', 'Portuguese Museum', 'Casa Nacarello', 'Regional Historical Archive', 'Tile Museum', 'Indigenous Museum', 'Spanish Museum', 'Armando Calcaterra Paleontological Museum', 'Naval Museum', 'Dock', 'The quarries', 'Cantera el Calabrés', 'Cantera de Ferrando', 'Cantera de Riachuelo', 'Cantera el Calabrés', 'Cantera de Ferrando', 'Cantera de Riachuelo', 'Granja Arenas', 'Museo de las Colecciones', 'Restaurant and store']
19;46592425;Piriápolis;['Catedral De Piria']
20;39632863;Rivera;['Plaza Internacional', 'Plaza Artigas', 'Parque Gran Bretaña', 'Parroquia de la Inmaculada Concepción', 'Estadio Atilio Paiva Olivera', 'Autódromo Eduardo P. Cabrera', 'Valle del Lunarejo', 'Cerro Marconi']
21;46689921;La Paloma;['Beach']
22;211707013;Khiva;"['Kutli Murad Inak Medressa', ""Khan Anush Mohammed's Bath"", 'Uc Avlija Mausoleum', 'Tash Chauli', 'Khan Allakuli Medressah', 'Tim', 'City walls', 'City Gates', 'Kuhna Ark', 'Mohammed Rakhim Khan Medrassah and Square', 'Kalta Minor', 'Juma Mosque', 'Pahlawan Mahmud Mausoleum', 'Islam Khoja Minaret', 'Shirgiz Khan Medressa', 'Medressa Muhammed Amin Khan', 'Ak Mosque', 'Bogbonli Mosque', 'Seid Allaudin Mausoleum']"
23;221769659;Namangan City;['Mullo Kyrgyz Madrasseh', 'Mosque of Ota Valikhan Tur', 'Namangan Natural History Museum', 'Hadja Amin Kabri Architectural Complex', 'Akhsykent ruins']
24;211799952;Nukus;['Karakalpak Museum of Arts', 'Amet and Ayimkhan Shamuratovs House Museum']
25;220276939;Samarqand City;"['Registan Ensemble', 'Shirdor Madrasah', 'Ulugbek Madrasah', 'Tilla Kari Madrasah', 'Bibi-Khanym Mosque', 'Khazrat-Khizr', ""Ulugbek's Observatory"", 'Gur Emir Mausoleum', 'Shakhi-Zinda Ensemble', 'Afrosiab', 'Tomb of Prophet Daniel', 'Al-Bukhari Mausoleum', 'Abu Mansoor Al Matrudi Mausoleum', 'Rukhabad Mausoleum', 'Abdi Darun Ensemble', 'Ishrat-khana Mausoleum', 'Khodja Ahrar Ensemble']"
26;299321694;Caracas;['La Plaza Bolivar', 'Simón Bolívar Birthplace House', 'Boulevard of Sabana Grande', 'Museo de Bellas Artes de Caracas', 'Centro de Arte La Estancia', 'Jardin Botanico', 'Casa John Boulton Caracas', 'Parque del Este', 'Museo de Arte Colonial', 'Museo Colección Ornitológica William Phelps Caracas', 'Universidad Central de Venezuela', 'Museo Sacro de Caracas']
27;297115897;Coro;['Médanos de Coro National Park']
28;292394664;Ciudad Guayana;['Parque La Llovizna', 'Parque Punta Vista', 'Parque Loefling', 'Parque Cachamay']
29;297535660;Maracaibo;['Puente General Rafael Urdaneta', 'Basilica de Nuestra Señora de Chiquinquira', 'Plaza del Rosario de Nuestra Señora de La Chiquinquirá', 'Museo Rafael Urdaneta', 'Santa Lucía', 'Calle Carabobo', 'Jardín Botánico de Maracaibo', 'Casa de la Capitulación', 'Baralt Theater']
30;299121998;Maracay;['Plaza Bolivar', 'Plaza Girardot', 'Museo Aeronautico']
31;298916943;Mérida;NA
32;298350696;Puerto La Cruz;['Mirador El Morro', 'Fortin Doña Magdalena']
33;365556721;Hà Nội;"['Vietnam Military History Museum', 'Fine Arts Museum', 'Hồ Chí Minh Mausoleum', 'Hồ Chí Minh Museum', ""Hồ Chí Minh's Vestige in the Presidential Palace Area"", 'National Museum of Vietnamese History', ""Vietnamese Women's Museum"", 'Museum of Ethnology', 'Hanoi Museum', 'Air Force Museum', 'Hoàn Kiếm Lake', 'Lý Thái Tổ Statue &amp; Park', 'Hồ Tây', 'Lenin Statue &amp; Park', 'One-Pillar Pagoda', 'Ngọc Sơn Temple', 'Temple of Literature', 'Quán Sứ Pagoda', 'Trấn Quốc Pagoda', 'Bạch Mã Temple', 'Quán Thánh Temple', 'Voi Phục Temple', 'Kim Liên Shrine', 'Fujian Assembly Hall', 'Canton Assembly Hall', 'Hanoi Citadel', 'Hanoi Train Street', ""St. Joseph's Cathedral"", 'Presidential Palace', 'B-52 Lake', 'Downed Aircraft Memorial', 'Hỏa Lò Prison']"
34;214833685;Akhaltsikhe;['Akhaltsikhe Castle', 'Amaghleba Church', 'Old Train Station', 'St. Marina Church', 'Old Turkish baths', 'Synagogue', 'Sapara Monastery']
35;214771824;Batumi;['Black Sea', 'Music fountain', 'Dolphinarium', 'Batumi Botanical Garden', 'Medea statue', 'Cathedral of the Mother of God', 'Church of the Holy Spirit', 'Armenian Cathedral of Christ the Savior', 'Old Mosque', 'Synagogue', 'Archaeological Museum', 'Adjara Art Museum', 'The Nobel Brothers Batumi Technological Museum', 'Khariton Akhvlediani Museum', 'Makhuntseti Bridge and Waterfall', 'Remains of Gonio Fortress', 'Petra Fortress']
